mastery,rank,result
21079.8,-0.5666666666666669,1
50198.2,-0.07999999999999963,0
-909838.0,-0.07999999999999963,0
28831.800000000003,-0.4166666666666674,1
-50030.399999999994,-0.040000000000000036,0
-77133.40000000001,0.08000000000000052,1
-8714.199999999997,-0.08000000000000052,1
-33058.399999999994,0.35999999999999943,1
80806.40000000001,-0.19999999999999973,1
-74236.0,-0.23999999999999977,0
-15120.799999999996,-0.1999999999999993,0
222134.2,0.0,1
-47538.2,-0.2400000000000002,0
-129442.2,-0.19999999999999973,0
-210389.4,-0.4500000000000006,1
-25669.79999999999,-0.11999999999999966,1
-167764.8,0.040000000000000036,0
-66374.6,0.08000000000000007,1
1958.4000000000015,0.20000000000000107,1
39476.799999999996,-0.08000000000000052,1
49693.399999999994,0.30000000000000027,0
-7749.6,-0.9000000000000004,0
-7920.5999999999985,-1.0,0
10406.4,0.4000000000000008,1
-42407.799999999996,-0.050000000000000266,0
-927.7999999999993,-0.4666666666666668,0
141892.39999999997,-0.08000000000000052,1
84724.6,-0.28000000000000025,1
59966.6,-0.16000000000000014,1
-144743.8,-0.11999999999999966,0
-202887.59999999998,-0.2799999999999998,0
8993.0,0.23999999999999977,1
-3279.5999999999985,0.23999999999999977,1
8142.4000000000015,-0.03999999999999915,0
75652.8,0.28000000000000025,1
-83513.20000000001,-0.07999999999999963,0
-46773.0,8.881784197001252e-16,1
-60062.2,-0.04000000000000048,0
221632.0,0.0,1
196689.60000000003,-0.04000000000000048,1
-35054.399999999994,-0.08000000000000052,1
-86150.4,-0.040000000000000036,0
-15864.0,0.07999999999999963,1
52729.200000000004,0.16000000000000014,1
-20260.0,0.11999999999999966,0
-259743.59999999998,-0.1200000000000001,0
1552.6000000000004,0.8800000000000003,0
19975.600000000002,-0.06666666666666687,0
9296.8,-1.7000000000000002,1
-33397.2,-1.0666666666666669,0
17046.199999999997,-0.13333333333333286,0
17077.199999999997,0.1499999999999999,1
-332400.0,0.46666666666666634,1
1043.6000000000022,-0.1599999999999997,0
114617.40000000001,-0.3999999999999999,1
66012.2,-0.19999999999999973,0
18419.199999999997,0.6000000000000001,1
-43269.6,0.1333333333333333,0
3108.9999999999964,0.11666666666666714,1
-267745.2,0.7000000000000002,0
-8328.6,0.2999999999999998,0
-192261.0,0.10666666666666647,1
181295.8,0.16666666666666607,1
5336.0,0.09999999999999964,1
33221.0,0.20000000000000018,1
11020.000000000002,-0.1999999999999993,0
-206013.8,-0.1200000000000001,0
-520.7999999999884,0.16000000000000103,1
-113547.79999999999,-0.24000000000000066,1
-28469.000000000007,-0.5,1
-17009.4,-0.7000000000000002,1
-1832.800000000003,0.10000000000000009,1
-3209.5999999999995,-0.10000000000000009,1
2813.2000000000007,0.17999999999999972,1
-24109.6,0.5499999999999998,1
-61082.59999999999,0.6799999999999997,0
308415.2,-0.19999999999999973,0
-99905.6,-0.08000000000000052,1
131857.8,-0.16000000000000014,1
54426.799999999996,0.04000000000000048,1
38153.79999999999,0.19999999999999973,1
98561.0,0.15999999999999925,1
-206304.2,-0.11999999999999966,0
-69025.4,0.0,1
54425.00000000001,0.0,1
76003.20000000001,0.04000000000000048,1
42535.2,0.2799999999999998,1
30615.200000000004,0.11999999999999966,1
-34998.399999999994,-0.43999999999999995,0
33120.2,-0.040000000000000036,0
38479.2,0.07999999999999963,1
18262.59999999999,-0.6399999999999997,0
-75507.0,-0.15999999999999925,0
294128.6,0.0,0
-122087.79999999999,-0.040000000000000924,1
65571.6,-0.23999999999999977,0